City,State,Geo.ID,Risk,Vulnerability,Exposure,Sensitivity,Adaptive Capacity,Readiness,Social,Governance,Economic,SLR in 2040,Projected Cost 1ft SLR
Cheyenne,WY,1600000US5613900,,0.372808548,,0.451240838,0.705623742,0.463950905,0.459156011,0.696976568,0.235720136,,
Chicago,IL,1600000US1714000,,0.539208014,,0.618106001,0.539689973,0.493207904,0.230288277,0.731541361,0.517794072,,
Chula Vista,CA,1600000US0613392,0.262377042,0.477447192,0.047306891,0.528832637,0.573938253,0.477071178,0.508738158,0.585630474,0.336844903,0.89,205500
Cincinnati,OH,1600000US3915000,,0.368586185,,0.602899522,0.865727152,0.620874961,0.501447105,0.621144073,0.740033705,,
Clarksville,TN,1600000US4715160,,0.338435049,,0.295727325,0.618857228,0.451087427,0.160789353,0.648239702,0.544233226,,
Clearwater,FL,1600000US1212875,0.594750587,0.682639113,0.50686206,0.700996139,0.335717913,0.412024034,0.561377134,0.491637224,0.183057744,1.08,1503357800
Cleveland,OH,1600000US3916000,,0.46410464,,0.712746548,0.784537267,0.416387163,0.411026186,0.477581348,0.360553955,,
Colorado Springs,CO,1600000US0816000,,0.359002105,,0.348553982,0.630549772,0.398222508,0.392333682,0.740254016,0.062079825,,
Columbia (MO),MO,1600000US2915670,,0.203219635,,0.34179604,0.93535677,0.534312801,0.472099865,0.692037831,0.438800708,,
Columbia (SC),SC,1600000US4516000,,0.281073107,,0.354440672,0.792294458,0.614766429,0.451785621,0.744964034,0.647549632,,
Columbus (GA),GA,1600000US1319000,,0.374986465,,0.405910026,0.655937096,0.387876371,0.027337809,0.674795121,0.461496183,,
Columbus (OH),OH,1600000US3918000,,0.366961741,,0.439563629,0.705640148,0.593520549,0.451391887,0.69866475,0.630505011,,
Concord,CA,1600000US0616000,0.243222146,0.486420546,2.37E-05,0.556179489,0.583338396,0.47384472,0.437465143,0.705472752,0.278596265,0.69,76200
Coral Springs,FL,1600000US1214400,,0.625377309,,0.353738594,0.102983976,0.552996518,0.483179417,0.564220649,0.611589489,,
Corona,CA,1600000US0616350,,0.626421496,,0.462023847,0.209180855,0.247623977,0.166477897,0.422490364,0.153903671,,
Corpus Christi,TX,1600000US4817000,0.46612559,0.473106566,0.459144614,0.386556653,0.440343521,0.380992681,0.091024377,0.545976052,0.505977616,1.31,696744600
Costa Mesa,CA,1600000US0616532,0.199952572,0.387631041,0.012274103,0.509268865,0.734006783,0.337248866,0.342266021,0.348544799,0.320935777,0.85,13055200
Dallas,TX,1600000US4819000,,0.462619641,,0.418979376,0.493740093,0.418562885,0.165208232,0.557926157,0.532554267,,
Daly City,CA,1600000US0617918,0.212851158,0.41132191,0.014380406,0.479075644,0.656431824,0.534114172,0.543201936,0.672480464,0.386660115,0.82,4291000
Davenport,IA,1600000US1919000,,0.308989461,,0.482100259,0.864121337,0.460510809,0.17950081,0.64324023,0.558791386,,
Dayton,OH,1600000US3921000,,0.419579769,,0.67711213,0.837952592,0.520573032,0.526062334,0.459924683,0.575732078,,
Denton,TX,1600000US4819972,,0.502291593,,0.340381042,0.335797856,0.529783864,0.522000296,0.639698411,0.427652886,,
Denver,CO,1600000US0820000,,0.458281265,,0.411828459,0.495265929,0.57001535,0.256022004,0.795634657,0.65838939,,
Des Moines,IA,1600000US1921000,,0.409684677,,0.552947926,0.733578573,0.434047652,0.171011978,0.644539206,0.486591771,,
Detroit,MI,1600000US2622000,,0.586673917,,0.77848194,0.605134106,0.451947239,0.303163312,0.511533708,0.541144698,,
Downey,CA,1600000US0619766,,0.574625434,,0.475138406,0.325887538,0.341561524,0.172136184,0.276423756,0.576124632,,
Durham,NC,1600000US3719000,,0.342843655,,0.327422257,0.641734947,0.710496937,0.721937216,0.814511786,0.59504181,,
El Monte,CA,1600000US0622230,,0.502813577,,0.675034855,0.6694077,0.20909742,0.105065586,0.240591032,0.28163564,,
El Paso,TX,1600000US4824000,,0.498069319,,0.393101331,0.396962693,0.43593257,0.050683911,0.566088058,0.691025742,,
Elgin,IL,1600000US1723074,,0.440411629,,0.457907421,0.577084163,0.460864566,0.465558007,0.323603132,0.593432559,,
Elizabeth,NJ,1600000US3421000,0.443965092,0.770810346,0.117119837,0.65297972,0.111359029,0.392272899,0.127569202,0.389842802,0.659406694,1.31,23841100
Elk Grove,CA,1600000US0622020,,0.226907074,,0.208438563,0.754624415,0.460853311,0.248632883,0.742123988,0.391803063,,
Escondido,CA,1600000US0622804,,0.598333566,,0.627437454,0.430770322,0.478647299,0.59711399,0.486276907,0.352551,,
Eugene,OR,1600000US4123850,,0.523329446,,0.626523966,0.579865074,0.562209764,0.365720522,0.822739367,0.498169402,,
Evansville,IN,1600000US1822000,,0.495012209,,0.534241614,0.544217196,0.406470672,0.416831416,0.567851651,0.23472895,,
Everett,WA,1600000US5322640,0.385563213,0.392957811,0.378168615,0.553078097,0.767162476,0.445297637,0.383974564,0.695585553,0.256332794,0.66,89700500
Fairfield,CA,1600000US0623182,0.192753597,0.383767714,0.001739479,0.395061013,0.627525584,0.360597343,0.230775023,0.566654022,0.284362985,0.69,2383600
Fargo,ND,1600000US3825700,,0.245892773,,0.317557344,0.825771797,0.558682393,0.494112452,0.67724558,0.504689147,,
Fayetteville,NC,1600000US3722920,,0.38123773,,0.407422897,0.644947437,0.576792742,0.433217339,0.716234212,0.580926674,,
Fontana,CA,1600000US0624680,,0.496428442,,0.420060382,0.427203498,0.164831094,0.070294573,0.28399528,0.140203429,,
Fort Collins,CO,1600000US0827425,,0.352445789,,0.362819676,0.657928097,0.620968316,0.783746864,0.821729785,0.257428299,,
Fort Lauderdale,FL,1600000US1224000,0.797835406,0.611246443,0.984424369,0.562570808,0.340077921,0.558826124,0.491895161,0.504772464,0.679810747,1.05,2117791200
Fort Wayne,IN,1600000US1825000,,0.475094188,,0.545692034,0.595503659,0.519859446,0.331046476,0.598121842,0.630410019,,
Fort Worth,TX,1600000US4827000,,0.427022552,,0.325226733,0.471181628,0.500303636,0.292921175,0.487187609,0.720802125,,
Fremont,CA,1600000US0626000,0.2441338,0.298679706,0.189587894,0.285527575,0.688168162,0.61544201,0.639961553,0.887348986,0.319015491,0.69,74810900
Fresno,CA,1600000US0627000,,0.590351145,,0.660824014,0.480121724,0.40195897,0.128853592,0.556687625,0.520335693,,
Frisco,TX,1600000US4827684,,0.261377723,,0.184151905,0.661396458,0.730572764,0.845096094,0.742426544,0.604195654,,
Fullerton,CA,1600000US0628000,,0.494253062,,0.508034035,0.519527912,0.424138935,0.56826586,0.390882806,0.313268139,,
Gainesville,FL,1600000US1225175,,0.355524001,,0.401992981,0.690944979,0.434745583,0.57750324,0.677889887,0.048843622,,
Garden Grove,CA,1600000US0629000,,0.563999218,,0.591305811,0.463307376,0.30068269,0.377245888,0.228932557,0.295869625,,
Garland,TX,1600000US4829000,,0.564887477,,0.403929791,0.274154837,0.32816299,0.410736002,0.370497245,0.203255724,,
Glendale (AZ),AZ,1600000US0427820,,0.595568255,,0.551560586,0.360424076,0.497941398,0.47783803,0.555007098,0.460979065,,
Glendale (CA),CA,1600000US0630000,,0.445874407,,0.520662926,0.628914112,0.269990035,0.10284911,0.441499542,0.265621454,,
Grand Prairie,TX,1600000US4830464,,0.45481728,,0.275559318,0.365924758,0.315298461,0.325181989,0.367846572,0.252866823,,
Grand Rapids,MI,1600000US2634000,,0.446235837,,0.660168523,0.767696849,0.608546233,0.540795301,0.569444811,0.715398588,,
Green Bay,WI,1600000US5531000,,0.448665507,,0.483170113,0.585839099,0.501643535,0.454846551,0.557886878,0.492197176,,
Greensboro,NC,1600000US3728000,,0.442961897,,0.366442097,0.480518302,0.674690774,0.526290446,0.755761773,0.742020102,,
Gresham,OR,1600000US4131250,0.280897394,0.556409481,0.005385307,0.635232813,0.522413851,0.560590864,0.312575812,0.765684254,0.603512526,,
Hampton,VA,1600000US5135000,0.429736036,0.393830284,0.465641788,0.489762088,0.70210152,0.382084315,0.10744283,0.473225023,0.56558509,1.38,53236200
Hartford,CT,1600000US0937000,0.551527579,0.605277061,0.497778098,0.71564282,0.505088698,0.439478692,0.477098162,0.434016896,0.407321017,1.21,339800
Hayward,CA,1600000US0633000,0.646963979,0.495196034,0.798731924,0.524247999,0.533855931,0.543276469,0.6088606,0.647871804,0.373097003,0.69,99080700
Henderson,NV,1600000US3231900,,0.30700105,,0.222748445,0.608746345,0.57268278,0.318212412,0.813035513,0.586800415,,
Hialeah,FL,1600000US1230000,0.631387059,0.748753024,0.514021095,0.668113648,0.1706076,0.282089943,0.11866825,0.411741146,0.315860434,1.05,16676600
High Point,NC,1600000US3731400,,0.419810579,,0.386651888,0.547030729,0.568322353,0.370360886,0.6851627,0.649443472,,
Hollywood,FL,1600000US1232000,0.6501582,0.539112023,0.761204377,0.557162724,0.478938678,0.37736684,0.365834975,0.496505863,0.269759683,1.05,631673400
Honolulu,HI,1600000US1571550,0.18732345,0.342215448,0.032431452,0.438367738,0.753936842,0.416499671,0.082830147,0.845034673,0.321634192,0.92,193851126
Houston,TX,1600000US4835000,0.265009308,0.473660421,0.056358196,0.424295596,0.476974755,0.532211565,0.377928067,0.59216993,0.626536699,1.54,101888200
Huntington Beach,CA,1600000US0636000,0.453149619,0.469346104,0.436953134,0.551855846,0.613163639,0.539217591,0.562284129,0.519937182,0.535431463,0.85,6233847000
Huntsville,AL,1600000US0137000,,0.333239766,,0.35177914,0.685299608,0.552900799,0.598457739,0.579283892,0.480960766,,
Independence,MO,1600000US2935000,,0.461012262,,0.464894178,0.542869654,0.39149325,0.207994357,0.662141541,0.304343852,,
Indianapolis,IN,1600000US1836003,,0.436138799,,0.489541637,0.617264039,0.514230256,0.273608648,0.699161914,0.569920205,,
Inglewood,CA,1600000US0636546,,0.599450623,,0.651239144,0.452337897,0.283695944,0.120456708,0.253773354,0.476857768,,
Irvine,CA,1600000US0636770,0.133983154,0.265055493,0.002910814,0.193433589,0.663322602,0.381780673,0.481709801,0.587151623,0.076480594,0.85,2505000
Irving,TX,1600000US4837000,,0.547130912,,0.39595268,0.301690855,0.367307882,0.116861266,0.40564102,0.579421359,,
Jackson,MS,1600000US2836000,,0.382020704,,0.533323769,0.769282361,0.48514008,0.413606531,0.621439469,0.42037424,,
Jacksonville,FL,1600000US1235000,0.67836784,0.431343716,0.925391963,0.45055868,0.587871248,0.456647484,0.392626338,0.694954744,0.28236137,1.05,2827088800
Jersey City,NJ,1600000US3436000,0.328320162,0.538917331,0.117722992,0.525773312,0.447938649,0.462040644,0.091209232,0.707793981,0.58711872,1.28,282783100
Joliet,IL,1600000US1738570,,0.338330856,,0.327563894,0.650902181,0.429560362,0.531432974,0.453431438,0.303816675,,
Kansas City (KS),KS,1600000US2036000,,0.467016794,,0.542989381,0.608955792,0.314061111,0.377147551,0.498178239,0.066857544,,
Kansas City (MO),MO,1600000US2938000,,0.37654909,,0.447255584,0.694157404,0.599923666,0.41517912,0.644128232,0.740463645,,
Kent,WA,1600000US5335415,0.346987803,0.672750932,0.021224674,0.558741715,0.213239851,0.703088706,0.816324272,0.725844731,0.567097114,0.75,6552486
Killeen,TX,1600000US4839148,,0.548201459,,0.292267014,0.195864096,0.311354369,0.152896508,0.474913741,0.306252858,,
Knoxville,TN,1600000US4740000,,0.312683354,,0.46400352,0.838636812,0.538188501,0.585467403,0.584720309,0.44437779,,
Lafayette,LA,1600000US2240735,0.175103518,0.330804463,0.019402573,0.442389442,0.780780515,0.303475449,0.33346471,0.561616041,0.015345597,2,26344000
Lakewood,CO,1600000US0843000,,0.432129266,,0.442216108,0.577957575,0.572383802,0.685940025,0.721276704,0.309934677,,
Lancaster,CA,1600000US0640130,,0.450989417,,0.495777142,0.593798308,0.246175526,0.113599903,0.360373246,0.26455343,,
Lansing,MI,1600000US2646000,,0.373621226,,0.622198755,0.874956303,0.530031413,0.531788898,0.625166003,0.433139339,,
Laredo,TX,1600000US4841464,,0.688104787,,0.474958349,0.098748774,0.363225293,0.018305034,0.491765828,0.579605018,,
Las Vegas,NV,1600000US3240000,,0.459261537,,0.402211987,0.483688913,0.50905944,0.175986714,0.654774745,0.696416861,,
Lexington-Fayette,KY,1600000US2146027,,0.297300167,,0.30102269,0.706422356,0.419149155,0.282335327,0.721115087,0.25399705,,
Lincoln,NE,1600000US3128000,,0.363690388,,0.427395046,0.70001427,0.457115163,0.135642836,0.683275637,0.552427016,,
Little Rock,AR,1600000US0541000,,0.327062964,,0.445910244,0.791784316,0.493415285,0.189415458,0.639448087,0.651382311,,
Long Beach,CA,1600000US0643000,0.323260902,0.536904638,0.109617167,0.609460157,0.535650881,0.372098913,0.143223048,0.514451968,0.458621724,0.72,1167854094
Los Angeles,CA,1600000US0644000,0.285632374,0.567363259,0.00390149,0.565552384,0.430825866,0.432205733,0.126388798,0.591096006,0.579132396,0.72,44403600
Lowell,MA,1600000US2537000,,0.589239279,,0.586770859,0.408292301,0.570406004,0.670011953,0.428194901,0.613011159,,
Lubbock,TX,1600000US4845000,,0.403110232,,0.433128098,0.626907635,0.391391597,0.166432245,0.39910827,0.608634276,,
Madison,WI,1600000US5548000,,0.39349302,,0.354598219,0.567612179,0.82765076,0.716747775,0.825323393,0.940881112,,
Manchester,NH,1600000US3345140,,0.364302743,,0.451224558,0.722619072,0.561817497,0.754708711,0.62296048,0.3077833,,
McAllen,TX,1600000US4845384,,0.604745082,,0.457633771,0.248143607,0.315183058,0.123251854,0.501139175,0.321158146,,
McKinney,TX,1600000US4845744,,0.399843169,,0.216727714,0.417041377,0.719238178,0.773040411,0.728812264,0.65586186,,
Memphis,TN,1600000US4748000,,0.527817081,,0.570257111,0.51462295,0.48256939,0.442806202,0.629948881,0.374953088,,
Mesa,AZ,1600000US0446000,,0.517772904,,0.553048,0.517502192,0.542833659,0.341377157,0.674175789,0.612948032,,
Mesquite,TX,1600000US4847892,,0.651760924,,0.3802317,0.076709852,0.401406491,0.260446728,0.348236101,0.595536644,,
Miami,FL,1600000US1245000,0.441362304,0.525367399,0.357357209,0.627893277,0.577158479,0.396088838,0.105738614,0.519989749,0.562538151,1.05,525511700
Miami Gardens,FL,1600000US1245060,0.296135813,0.480852147,0.11141948,0.509685663,0.547981369,0.412011012,0.442450027,0.377928672,0.415654336,1.05,9883600
Midland,TX,1600000US4848072,,0.599140865,,0.359382285,0.161100556,0.363790086,0.218325708,0.273308851,0.5997357,,
Milwaukee,WI,1600000US5553000,,0.566177447,,0.687112078,0.554757184,0.680879301,0.483449585,0.681365152,0.877823166,,
Minneapolis,MN,1600000US2743000,,0.349578179,,0.543897064,0.844740706,0.720738047,0.713037361,0.764117798,0.685058981,,
Miramar,FL,1600000US1245975,0.342126436,0.619002931,0.065249941,0.322529714,0.084523853,0.365769394,0.233696366,0.5409573,0.322654515,1.05,5526500
Mobile,AL,1600000US0150000,0.485158396,0.357556907,0.612759885,0.512023511,0.796909697,0.535057273,0.44629603,0.64141785,0.51745794,1.15,251936200
Modesto,CA,1600000US0648354,,0.453649156,,0.599617766,0.692319454,0.339365883,0.180585896,0.543674541,0.293837211,,
Montgomery,AL,1600000US0151000,,0.416685222,,0.518742156,0.685371711,0.483647209,0.248126932,0.627367842,0.575446855,,
Moreno Valley,CA,1600000US0649270,,0.472333129,,0.376050957,0.431384699,0.231262611,0.053989277,0.314654377,0.325144179,,
Murfreesboro,TN,1600000US4751560,,0.301675836,,0.233963082,0.63061141,0.552074374,0.461924417,0.634765201,0.559533505,,
Murrieta,CA,1600000US0650076,,0.377897977,,0.377091348,0.621295394,0.368771936,0.348385072,0.530265643,0.227665093,,
Naperville,IL,1600000US1751622,,0.269182437,,0.248216539,0.709851665,0.606717388,0.572707443,0.622693159,0.624751562,,
New Haven,CT,1600000US0952000,0.770937092,0.558539487,0.983334696,0.668290127,0.551211153,0.464417465,0.507849591,0.581234695,0.30416811,1.25,81640400
New Orleans,LA,1600000US2255000,0.513116661,0.480159405,0.546073918,0.519573592,0.559254781,0.521103265,0.159590393,0.780092906,0.623626497,1.87,7015800
New York,NY,1600000US3651000,0.276949916,0.522120887,0.031778946,0.670928895,0.626687122,0.465256972,0.068707608,0.736955294,0.590108014,1.28,1787167721
Newark,NJ,1600000US3451000,0.585300354,0.674944966,0.495655742,0.685699436,0.335809505,0.420625141,0.089348106,0.558438273,0.614089045,1.31,13646000
Newport News,VA,1600000US5156000,0.28281628,0.409139657,0.156492902,0.468349075,0.650069761,0.408655582,0.289016498,0.486115322,0.450834928,1.38,39598600
Norfolk,VA,1600000US5157000,0.55240682,0.45649525,0.64831839,0.542541358,0.629550857,0.365310401,0.048586957,0.602883874,0.444460372,1.35,952723700
Norman,OK,1600000US4052500,,0.483249317,,0.354361165,0.387862531,0.504389886,0.284614046,0.652450528,0.576105084,,
North Las Vegas,NV,1600000US3251800,,0.434546059,,0.280154228,0.411062109,0.423037572,0.196847014,0.574610823,0.497654879,,
Norwalk,CA,1600000US0652526,,0.561941399,,0.550877629,0.42699483,0.208787033,0.118533842,0.258035233,0.249792023,,
Oakland,CA,1600000US0653000,0.303390505,0.495949099,0.110831912,0.586791923,0.594893725,0.60214707,0.617030338,0.711046003,0.478364868,0.69,16075800
Oceanside,CA,1600000US0653322,0.253124032,0.501504364,0.004743699,0.55723142,0.554222692,0.556536801,0.674303308,0.658748283,0.336558813,0.89,23359500
Oklahoma City,OK,1600000US4055000,,0.405863817,,0.439677354,0.627949719,0.507795801,0.253462567,0.618905303,0.651019532,,
Olathe,KS,1600000US2052575,,0.295743968,,0.238288958,0.646801021,0.545953812,0.644886771,0.717422259,0.275552406,,
Omaha,NE,1600000US3137000,,0.391381386,,0.526067897,0.743305124,0.523643004,0.2101294,0.659964098,0.700835515,,
Ontario,CA,1600000US0653896,,0.574976785,,0.563465238,0.413511667,0.213578548,0.135430617,0.25109544,0.254209586,,
Orange,CA,1600000US0653980,,0.364123166,,0.517404891,0.789158559,0.3804699,0.506713065,0.345199535,0.2894971,,
Orlando,FL,1600000US1253000,,0.329756847,,0.321182168,0.661668475,0.480056867,0.527004959,0.685325362,0.22784028,,
Overland Park,KS,1600000US2053775,,0.2616225,,0.265581262,0.742336261,0.70865866,0.754876308,0.740480725,0.630618946,,
Oxnard,CA,1600000US0654652,0.323627077,0.617560721,0.029693432,0.598018622,0.362897179,0.248254257,0.234226531,0.213017633,0.297518608,0.95,671816200
Palm Bay,FL,1600000US1254000,0.27712297,0.49110692,0.063139021,0.429284179,0.447070339,0.3072111,0.293524192,0.359600189,0.268508918,1.02,58894200
Palmdale,CA,1600000US0655156,,0.4985822,,0.484872474,0.487708073,0.237598065,0.183483624,0.276550039,0.252760533,,
Pasadena (CA),CA,1600000US0656000,,0.391925221,,0.438874415,0.655023973,0.22542905,0.184976659,0.462357496,0.028952995,,
Pasadena (TX),TX,1600000US4856000,0.436603916,0.69962727,0.173580562,0.490859596,0.091605055,0.294680744,0.12382514,0.485737142,0.274479951,1.54,65798200
Paterson,NJ,1600000US3457000,,0.730727184,,0.737299065,0.275844697,0.377104801,0.146226633,0.377702858,0.607384914,,
Pembroke Pines,FL,1600000US1255775,,0.609179527,,0.480470139,0.262111084,0.515040754,0.420885074,0.583009821,0.541227368,,
Peoria (AZ),AZ,1600000US0454050,,0.52433909,,0.340715246,0.292037067,0.536359867,0.367982624,0.661296108,0.57980087,,
Peoria (IL),IL,1600000US1759000,,0.324217021,,0.560094926,0.911660883,0.64470803,0.666778335,0.712678373,0.554667381,,
Philadelphia,PA,1600000US4260000,0.389677839,0.524441152,0.254914526,0.711704017,0.662821714,0.570532309,0.282320324,0.750107189,0.679169413,1.21,120222700
Phoenix,AZ,1600000US0455000,,0.481676155,,0.428166495,0.464814185,0.478738741,0.181508193,0.578358744,0.676349286,,
Pittsburgh,PA,1600000US4261000,,0.419732906,,0.597524946,0.758059134,0.56332298,0.524551291,0.751178564,0.414239084,,
Plano,TX,1600000US4858016,,0.344791813,,0.248386278,0.558802652,0.735970256,0.680927837,0.752273173,0.774709758,,
Pomona,CA,1600000US0658072,,0.484611586,,0.637233482,0.668010311,0.290655466,0.186377004,0.254196796,0.431392597,,
Ponce,PR,1600000US7263820,0.538691916,0.432304091,0.645079741,0.43416927,0.569561089,0.413045062,0.401945034,0.251956846,0.585233304,0.85,1776400
Port St. Lucie,FL,1600000US1258715,0.36700377,0.578523418,0.155484123,0.294048082,0.137001245,0.410216961,0.449937415,0.378001564,0.402711903,1.02,79214700
Portland (ME),ME,1600000US2360545,0.172849817,0.285806342,0.059893292,0.483412986,0.911800302,0.598917649,0.575329738,0.686875802,0.534547408,0.46,86436900
Portland (OR),OR,1600000US4159000,0.280699088,0.436582625,0.124815551,0.521161728,0.647996478,0.552539908,0.235309579,0.91253055,0.509779594,0.46,200357900
Providence,RI,1600000US4459000,0.329982406,0.417674194,0.242290618,0.594797304,0.759448916,0.337168305,0.061546036,0.561122065,0.388836813,1.15,78096600
Provo,UT,1600000US4962470,,0.406146922,,0.409544004,0.597250161,0.506526684,0.237637217,0.674803542,0.607139294,,
Pueblo,CO,1600000US0862000,,0.415572273,,0.619573715,0.788429168,0.417124155,0.283615988,0.672981541,0.294774936,,
Raleigh,NC,1600000US3755000,,0.381523101,,0.231269025,0.468222822,0.713993872,0.850406608,0.716866488,0.57470852,,
Rancho Cucamonga,CA,1600000US0659451,,0.374384186,,0.357788051,0.60901968,0.293747668,0.19864295,0.520915317,0.161684736,,
Reno,NV,1600000US3260600,,0.470412978,,0.5089758,0.568149844,0.525029258,0.386093837,0.66091657,0.528077366,,
